id,x,y,z
0,0.3450125306199443,0.33414887080264793,0.32083859857740787
1,0.34708290098658762,0.33354290696142769,0.31937419205198464
2,0.35082770271049074,0.33360351313623898,0.31556878415327033
3,0.35440547156737912,0.33275681882151931,0.31283770961110158
4,0.35755684762290524,0.3320361857648127,0.31040696661228201
5,0.36788009617012007,0.33022993383695309,0.30188996999292678
6,0.37276476637940914,0.32867218331758913,0.29856305030300168
7,0.37836701943889162,0.32275455041482415,0.29887843014628412
8,0.37107248823119343,0.33535503849393028,0.29357247327487629
9,0.37444117871127447,0.33597695109451908,0.28958187019420628
10,0.38360054844873342,0.33365979652033528,0.28273965503093124
11,0.38957424518277228,0.33005198189700397,0.28037377292022392
12,0.4015068711756517,0.32761961211200086,0.27087351671234738
13,0.42077855014823434,0.32313430388397435,0.25608714596779142
14,0.39730773418085652,0.33283304826108168,0.2698592175580618
15,0.40706975256647016,0.32997483009416223,0.26295541733936761
16,0.41648356385422874,0.32985436971283078,0.25366206643294048
17,0.40134942432425047,0.32696398164389356,0.27168659403185602
18,0.44574891746519069,0.31647238341849537,0.23777869911631397
19,0.42275029765605771,0.33344497304847154,0.24380472929547059
20,0.43277024492075777,0.32914144448209764,0.23808831059714464
21,0.44705459146815091,0.32391452354992201,0.22903088498192722
22,0.46559119572043534,0.31762001067676277,0.21678879360280187
23,0.4413888305894117,0.32950513772675721,0.22910603168383112
24,0.45773038053605331,0.32621262448208338,0.21605699498186318
25,0.4744780787761177,0.31772189403869688,0.20780002718518537
26,0.49989243359912205,0.31177562862254521,0.18833193777833282
27,0.47498139715694354,0.32228958027126509,0.2027290225717914
28,0.50679142628286955,0.31449077307561579,0.17871780064151466
29,0.52320472619731007,0.30402015335439891,0.17277512044829105
30,0.34008789145396739,0.33414404736784509,0.32576806117818752
31,0.3417474879811907,0.33457861460812427,0.32367389741068492
32,0.34366711810347728,0.3340790428188829,0.32225383907763988
33,0.34548186436131884,0.33394491382643943,0.32057322181224174
34,0.34758329304343411,0.33348191784127457,0.31893478911529133
35,0.35166921928980416,0.33365649165079092,0.31467428905940481
36,0.35550818499049969,0.33015299989110364,0.31433881511839656
37,0.35929199209673934,0.33234550185216694,0.30836250605109372
38,0.34993409497731309,0.33640871193351318,0.31365719308917378
39,0.35054466066869489,0.33513563935806812,0.31431969997323705
40,0.35453338132570145,0.33576137406214779,0.30970524461215088
41,0.35598852180523788,0.33422967626140165,0.30978180193336052
42,0.35985713762728194,0.33433038551425925,0.3058124768584588
43,0.37121237606663782,0.33346291749557727,0.29532470643778497
44,0.38136649361861708,0.33294317121167499,0.28569033516970793
45,0.37819414163635451,0.32851741448853322,0.29328844387511227
46,0.37587735512413745,0.33946474217202333,0.28465790270383934
47,0.37903760445538515,0.33799383492792573,0.28296856061668918
48,0.38496766709238006,0.33705797482402505,0.27797435808359494
49,0.39480483107589764,0.33655481516838992,0.26864035375571249
50,0.40802727997075017,0.33491833499535334,0.25705438503389649
51,0.42041315375873761,0.33195470984620634,0.24763213639505605
52,0.40469236963080363,0.3393806102567995,0.25592702011239693
53,0.41261428481464729,0.33910784435171293,0.24827787083363986
54,0.4287032626684778,0.33766616459219478,0.23363057273932744
55,0.44224213480445002,0.33499291858026836,0.22276494661528171
56,0.46388584084704426,0.32595168167536365,0.21016247747759217
57,0.43084593156718382,0.33999669413654221,0.22915737429627411
58,0.44131190703699297,0.33787268169706602,0.22081541126594104
59,0.45856925908982366,0.33791222120319098,0.20351851970698537
60,0.47601916841627973,0.33048564020632298,0.19349519137739737
61,0.45521191849949594,0.33795476812333386,0.20683331337717023
62,0.46863641694570501,0.33841962340702553,0.19294395964726951
63,0.48987774531508022,0.33336666127242193,0.17675559341249775
